year,state,name,FiscalYear, Total Taxes , Property Tax (T01) , Tot Sales & Gr Rec Tax , Total Gen Sales Tax (T09) , Total Select Sales Tax , Alcoholic Beverage Tax (T10) , Amusement Tax (T11) , Insurance Premium Tax (T12) , Motor Fuels Tax (T13) , Parimutuels Tax (T14) , Public Utility Tax (T15) , Tobacco Tax (T16) , Other Select Sales Tax (T19) , Total License Taxes , Alcoholic Beverage Lic (T20) , Amusement License (T21) , Corporation License (T22) , Hunt and Fish License (T23) , Motor Veh & Oper Lic , Motor Vehicle License (T24) , Motor Veh Oper License (T25) , Public Utility License (T27) , Occup and Bus Lic NEC (T28) , Other License Taxes (T29) , Total Income Taxes , Individual Income Tax (T40) , Corp Net Income Tax (T41) , Total Other Taxes , Death and Gift Tax (T50) , Docum and Stock Tr Tax (T51) , Severance Tax (T53) , Taxes NEC (T99) 
2017,0,US STATE GOVTS,N/A,"942,879,767","16,495,316","450,954,427","299,777,017","151,177,410","6,619,789","7,723,624","20,891,409","45,034,425","118,408","12,383,308","18,644,357","39,762,090","54,953,901","662,076","542,068","5,830,604","1,598,448","28,691,540","26,099,942","2,579,895","1,369,494","14,846,826","1,424,548","395,503,858","350,876,257","44,627,601","24,972,265","4,713,097","8,922,512","8,859,122","2,477,534"
2017,1,AL STATE GOVT,93017,"10,418,152","395,930","5,247,294","2,654,883","2,592,411","217,790",0,"339,719","588,992","1,226","688,756","188,783","567,145","529,607","4,086",X,"173,265","24,024","253,123","219,393","33,730","14,346","60,763",0,"4,144,656","3,624,543","520,113","100,665",X,"46,150","54,515",0
2017,2,AK STATE GOVT,63017,"1,189,786","120,805","263,120",X,"263,120","40,097","10,668","62,500","45,944",X,"4,370","67,555","31,986","134,928","1,996",0,X,"32,900","38,900","38,900",0,"9,316","49,272","2,544","87,775",X,"87,775","583,158",X,X,"583,158",0
2017,4,AZ STATE GOVT,63017,"13,888,611","993,615","8,539,726","6,566,503","1,973,223","74,126",X,"536,820","856,495",129,"22,325","310,706","172,622","505,494","8,921",X,"41,357","35,849","247,065","215,991","31,074",X,"170,700","1,602","3,813,786","3,445,650","368,136","35,990",X,"17,613","18,377",0
2017,5,AR STATE GOVT,63017,"9,516,281","1,137,886","4,701,868","3,384,394","1,317,474","55,831","60,380","213,212","487,517","2,497",X,"228,540","269,497","384,559","4,787",462,"28,106","26,912","183,967","158,446","25,521","9,157","129,289","1,879","3,164,756","2,767,767","396,989","127,212",198,"43,255","55,815","27,944"
2017,6,CA STATE GOVT,63017,"155,632,088","2,681,872","47,940,362","35,357,699","12,582,663","370,714",X,"2,422,105","4,842,749","14,743","728,045","852,894","3,351,413","10,525,972","58,202","22,212","74,365","104,176","4,483,295","4,261,054","222,241","779,990","4,999,288","4,444","94,309,271","84,196,751","10,112,520","174,611","1,360",X,"93,928","79,323"
2017,8,CO STATE GOVT,63017,"13,197,606",X,"5,128,852","2,978,382","2,150,470","44,866","97,630","256,212","653,790",625,X,"199,989","897,358","748,284","7,840",723,"17,638","75,573","578,477","536,975","41,502","13,245","54,671",117,"7,320,470","6,791,929","528,541",0,X,X,0,0
2017,9,CT STATE GOVT,63017,"16,345,525",X,"6,649,708","4,236,619","2,413,089","63,155","297,003","199,497","484,479","5,792","283,433","381,778","697,952","442,290","9,204",231,"29,791","5,603","281,910","235,105","46,805",738,"111,366","3,447","8,856,739","7,959,492","897,247","396,788","218,789","177,725",X,274
2017,10,DE STATE GOVT,63017,"3,588,905",X,"556,490",X,"556,490","20,577",X,"100,144","129,487",63,"53,798","112,349","140,072","1,503,083","2,034",312,"1,304,919","3,249","64,753","57,982","6,771",X,"120,843","6,973","1,427,150","1,180,975","246,175","102,182","2,156","98,889",X,"1,137"
2017,12,FL STATE GOVT,63017,"40,218,365",X,"33,339,556","25,346,166","7,993,390","323,393","207,144","959,339","2,727,802","7,800","1,972,968","1,197,666","597,278","2,032,331","7,005","19,181","238,350","15,166","1,538,953","1,374,140","164,813","24,526","180,240","8,910","2,383,783",X,"2,383,783","2,462,695",644,"2,427,903","34,148",0
2017,13,GA STATE GOVT,63017,"22,419,440","989,001","8,807,950","5,729,916","3,078,034","193,438",X,"480,154","1,741,092",X,X,"220,774","442,576","672,897","3,975",X,"56,999","27,000","476,674","364,255","112,419",X,"81,354","26,895","11,949,591","10,977,693","971,898",1,0,1,X,0
2017,15,HI STATE GOVT,63017,"7,029,026",X,"4,365,856","3,239,225","1,126,631","51,167",X,"170,118","87,026",X,"122,159","124,160","572,001","269,224",X,X,"1,723",567,"188,302","187,986",316,"17,352","48,633","12,647","2,280,441","2,095,601","184,840","113,505","18,968","94,537",X,0
2017,16,ID STATE GOVT,63017,"4,511,208",X,"2,245,356","1,650,498","594,858","9,468",X,"91,985","353,548",637,"15,752","50,883","72,585","383,702","1,878",260,"2,693","42,886","198,616","187,156","11,460","54,947","78,716","3,706","1,876,889","1,660,248","216,641","5,261",X,X,"5,261",0
2017,17,IL STATE GOVT,63017,"37,978,923","63,283","18,629,894","11,363,366","7,266,528","294,304","835,445","418,582","1,348,414","6,131","1,527,274","781,528","2,054,850","2,793,983","17,021","15,491","364,482","40,808","1,842,780","1,728,151","114,629","18,025","465,109","30,267","16,134,268","13,256,769","2,877,499","357,495","280,940","76,555",X,0
2017,18,IN STATE GOVT,63017,"18,051,598","12,251","10,894,428","7,556,326","3,338,102","49,403","477,977","235,171","854,529","1,866","193,613","434,351","1,091,192","681,547","12,582","5,782","9,488","18,902","513,891","284,202","229,689",X,"36,207","84,695","6,460,790","5,435,292","1,025,498","2,582","1,571",X,"1,011",0
2017,19,IA STATE GOVT,63017,"9,755,430","1,840","4,613,085","3,205,997","1,407,088","22,535","300,172","113,469","674,603","3,484","31,386","220,938","40,501","947,549","15,442","31,770","45,765","28,832","652,377","637,933","14,444","12,292","158,098","2,973","4,087,482","3,655,462","432,020","105,474","84,649","20,825",X,0
2017,20,KS STATE GOVT,63017,"8,173,821","683,827","4,301,565","3,209,506","1,092,059","137,801",313,"310,420","458,008",X,378,"138,504","46,635","421,080","2,668","7,950","19,732","30,961","256,955","224,198","32,757","4,972","95,358","2,484","2,714,618","2,327,652","386,966","52,731",0,X,"52,731",0
2017,21,KY STATE GOVT,63017,"11,907,759","709,772","5,649,708","3,490,639","2,159,069","146,227",174,"153,728","701,440","6,643","58,298","243,096","849,463","500,447","6,638",277,"110,072","28,532","225,216","208,389","16,827",X,"125,994","3,718","4,852,835","4,394,185","458,650","194,997","46,345","3,530","145,122",0
2017,22,LA STATE GOVT,63017,"11,104,720","70,366","7,014,497","4,215,378","2,799,119","77,107","698,306","813,975","634,883","4,659","9,110","174,001","387,078","368,318",X,X,"125,998","30,684","96,989","83,002","13,987","6,182","104,207","4,258","3,241,260","2,949,939","291,321","410,279",X,X,"410,279",0
2017,23,ME STATE GOVT,63017,"4,232,556","38,643","2,165,142","1,441,867","723,275","19,266","54,400","95,943","252,870","1,479","21,944","144,243","133,130","274,760","6,698",586,"10,577","16,579","120,748","109,723","11,025",X,"109,737","9,835","1,710,105","1,534,866","175,239","43,906","11,718","32,188",X,0
